id,created_at,lignes,colonnes,couleur_depart,joueur_courant,statut,resultat,confiance,coups,coups_sym,coups_can
34010,2026-03-14 21:39:00.652023,9,9,1,1,finished,rouge,2,2813523885885533224267777573533587587229392573828799916999944,8297587225225577886843333537577523523881718537282311194111166,2813523885885533224267777573533587587229392573828799916999944
34219,2026-03-14 21:39:35.883530,9,9,1,1,finished,rouge,2,66355567477766374443734433646776122,44755543633344736667376677464334988,44755543633344736667376677464334988
17231,2026-03-14 17:27:45.875940,9,9,1,2,finished,jaune,2,41154554457457475574777511788888848866666668656111221419997322222223333333,69956556653653635536333599322222262244444442454999889691113788888887777777,41154554457457475574777511788888848866666668656111221419997322222223333333
17232,2026-03-14 17:27:45.876406,9,9,1,2,finished,jaune,2,669777658766796776679993233252322355555557223333269999111124,441333452344314334431117877858788755555553887777841111999986,441333452344314334431117877858788755555553887777841111999986
52564,2026-03-15 18:05:43.991608,9,9,1,2,finished,jaune,2,1385445544533334114133147711697779799868898788998374917646,9725665566577776996977963399413331311242212322112736193464,1385445544533334114133147711697779799868898788998374917646
39509,2026-03-14 22:07:30.897187,9,9,1,1,finished,rouge,2,72743785885455484744557485855448277787822222966,38367325225655626366553625255662833323288888144,38367325225655626366553625255662833323288888144
18905,2026-03-14 20:44:02.413379,9,9,1,1,finished,rouge,2,93995777946666477667344374533645528,17115333164444633443766736577465582,17115333164444633443766736577465582
22521,2026-03-14 21:08:41.362173,9,9,1,2,finished,jaune,2,5155434334547667644551775777554114141177211929999998992222222636,5955676776563443466559335333556996969933899181111112118888888474,5155434334547667644551775777554114141177211929999998992222222636
18965,2026-03-14 20:44:13.101988,9,9,1,1,finished,rouge,2,64355653445544854554485889499899889899891111111112322222232237736,46755457665566256556625221611211221211219999999998788888878873374,46755457665566256556625221611211221211219999999998788888878873374
17238,2026-03-14 17:27:46.774041,9,9,1,1,finished,rouge,2,4256522564466556566556888888856777222228829111119999919119913333333337747,6854588546644554544554222222254333888882281999991111191991197777777773363,4256522564466556566556888888856777222228829111119999919119913333333337747
22985,2026-03-14 21:10:12.596283,9,9,1,1,finished,rouge,2,14753475334755477455333445574777335498999999992328886,96357635776355633655777665536333775612111111118782224,14753475334755477455333445574777335498999999992328886
17240,2026-03-14 17:27:46.972892,9,9,1,1,finished,rouge,2,919986886966899856555544326858865569922313323324434,191124224144211254555566784252245541188797787786676,191124224144211254555566784252245541188797787786676
17241,2026-03-14 17:27:47.038351,9,9,1,1,finished,rouge,2,18956556688869563596224,92154554422241547514886,18956556688869563596224
17242,2026-03-14 17:27:47.175331,9,9,1,1,finished,rouge,2,82455488524225242245544261666666977,28655622586885868865566849444444133,28655622586885868865566849444444133
17243,2026-03-14 17:27:47.284247,9,9,1,2,finished,jaune,2,58945544854554425113,52165566256556685997,52165566256556685997
17244,2026-03-14 17:27:47.425460,9,9,1,2,finished,jaune,2,74687887666774424361,36423223444336686749,36423223444336686749
19018,2026-03-14 20:44:23.191665,9,9,1,2,finished,jaune,2,35425445654452222445522455422888818811133383,75685665456658888665588655688222292299977727,35425445654452222445522455422888818811133383
24194,2026-03-14 21:14:11.057872,9,9,1,1,finished,rouge,2,9655665566556655633333333441223521161111177777772222977929999992144,1455445544554455477777777669887589949999933333338888133181111118966,1455445544554455477777777669887589949999933333338888133181111118966
17247,2026-03-14 17:27:47.817506,9,9,1,1,finished,nul,2,185455441545544154554411112222222229899888998899899866617177333333333777777666666,925655669565566956556699998888888881211222112211211244493933777777777333333444444,185455441545544154554411112222222229899888998899899866617177333333333777777666666
